1 - één, eén, eerste, een
2 - twee, tweede
3 - drie, derde
4 - vier, vierde
5 - vijf, vijfde
6 - zes, zesde
7 - zeven, zevende
8 - acht, achtste
9 - negen, negende
10 - tien, tiende
11 - elf, elfde
12 - twaalf, twaalfde
13 - dertien, dertiende
18 - achttien, achttiende
20 - twintig, twintigste
30 - dertig, dertigste
33 - drieëndertig, drieëndertigste
40 - veertig, veertigste
62 - tweeënzestig, tweeënzestigste
100 - honderd, honderdste
1.000 - duizend, duizendste
1.700 - zeventienhonderd, zeventienhonderdste
2.700 - zevenentwintighonderd, zevenentwintighonderdste
3.000 - drieduizend, drieduizendste
5.000 - vijfduizend, vijfduizendste
7.000 - zevenduizend, zevenduizendste
10.000 - tienduizend, tienduizendste
18.000 - achttienduizend, achttienduizendste
24.000 - vierentwintigduizend, vierentwintigduizendste
100.000 - honderdduizend, honderdduizendste
